Species,Temperature,Colony,Day,SamplingTimepoint,Branch,EQY12pm,MQY7pm
A. mill,Control_27,1,D1,Tx,a,0,0.686
A. mill,Control_27,1,D1,Tx,b,0,0.695
A. mill,Control_27,2,D1,Tx,a,0,0.711
A. mill,Control_27,2,D1,Tx,b,0,0.679
A. mill,Control_27,3,D1,Tx,a,0,0.697
A. mill,Control_27,3,D1,Tx,b,0,0.695
A. mill,Control_27,4,D1,Tx,a,0,0.688
A. mill,Control_27,4,D1,Tx,b,0,0.691
A. mill,Control_27,5,D1,Tx,a,0,0.706
A. mill,Control_27,5,D1,Tx,b,0,0.717
A. mill,Control_27,1,D2,Tx,a,0.716,0.705
A. mill,Control_27,1,D2,Tx,b,0.7,0.713
A. mill,Control_27,2,D2,Tx,a,0.67,0.71
A. mill,Control_27,2,D2,Tx,b,0.714,0.732
A. mill,Control_27,3,D2,Tx,a,0.699,0.709
A. mill,Control_27,3,D2,Tx,b,0.691,0.69
A. mill,Control_27,4,D2,Tx,a,0.689,0.734
A. mill,Control_27,4,D2,Tx,b,0.711,0.713
A. mill,Control_27,5,D2,Tx,a,0.684,0.706
A. mill,Control_27,5,D2,Tx,b,0.692,0.716
A. mill,Control_27,1,D3,T0,a,0.622,0.72
A. mill,Control_27,1,D3,T0,b,0.64,0.758
A. mill,Control_27,2,D3,T0,a,0.605,0.703
A. mill,Control_27,2,D3,T0,b,0.581,0.694
A. mill,Control_27,3,D3,T0,a,0.624,0.713
A. mill,Control_27,3,D3,T0,b,0.516,0.698
A. mill,Control_27,4,D3,T0,a,0.632,0.705
A. mill,Control_27,4,D3,T0,b,0.552,0.706
A. mill,Control_27,5,D3,T0,a,0.664,0.706
A. mill,Control_27,5,D3,T0,b,0.673,0.703
A. mill,Control_27,1,D4,Tx,a,0.625,0.717
A. mill,Control_27,1,D4,Tx,b,0.628,0.723
A. mill,Control_27,2,D4,Tx,a,0.513,0.715
A. mill,Control_27,2,D4,Tx,b,0.476,0.707
A. mill,Control_27,3,D4,Tx,a,0.584,0.703
A. mill,Control_27,3,D4,Tx,b,0.624,0.729
A. mill,Control_27,4,D4,Tx,a,0.536,0.704
A. mill,Control_27,4,D4,Tx,b,0.569,0.706
A. mill,Control_27,5,D4,Tx,a,0.579,0.724
A. mill,Control_27,5,D4,Tx,b,0.648,0.74
A. mill,Control_27,1,D5,Tx,a,0.625,0.721
A. mill,Control_27,1,D5,Tx,b,0.628,0.709
A. mill,Control_27,2,D5,Tx,a,0.513,0.69
A. mill,Control_27,2,D5,Tx,b,0.476,0.72
A. mill,Control_27,3,D5,Tx,a,0.584,0.701
A. mill,Control_27,3,D5,Tx,b,0.624,0.712
A. mill,Control_27,4,D5,Tx,a,0.536,0.689
A. mill,Control_27,4,D5,Tx,b,0.569,0.707
A. mill,Control_27,5,D5,Tx,a,0.579,0.726
A. mill,Control_27,5,D5,Tx,b,0.648,0.736
A. mill,Control_27,1,D6,T1,a,0.551,0.71
A. mill,Control_27,1,D6,T1,b,0.675,0.709
A. mill,Control_27,2,D6,T1,a,0.445,0.74
A. mill,Control_27,2,D6,T1,b,0.58,0.705
A. mill,Control_27,3,D6,T1,a,0.47,0.721
A. mill,Control_27,3,D6,T1,b,0.668,0.724
A. mill,Control_27,4,D6,T1,a,0.544,0.691
A. mill,Control_27,4,D6,T1,b,0.526,0.741
A. mill,Control_27,5,D6,T1,a,0.677,0.712
A. mill,Control_27,5,D6,T1,b,0.683,0.721
A. mill,Control_27,1,D7,Tx,a,0.591,0.682
A. mill,Control_27,1,D7,Tx,b,0.663,0.701
A. mill,Control_27,2,D7,Tx,a,0.62,0.701
A. mill,Control_27,2,D7,Tx,b,0.595,0.726
A. mill,Control_27,3,D7,Tx,a,0.664,0.714
A. mill,Control_27,3,D7,Tx,b,0.64,0.725
A. mill,Control_27,4,D7,Tx,a,0.612,0.726
A. mill,Control_27,4,D7,Tx,b,0.65,0.713
A. mill,Control_27,5,D7,Tx,a,0.589,0.724
A. mill,Control_27,5,D7,Tx,b,0.651,0.735
A. mill,Control_27,1,D8,T2,a,0.565,0.73
A. mill,Control_27,1,D8,T2,b,0.662,0.66
A. mill,Control_27,2,D8,T2,a,0.432,0.728
A. mill,Control_27,2,D8,T2,b,0.639,0.727
A. mill,Control_27,3,D8,T2,a,0.619,0.731
A. mill,Control_27,3,D8,T2,b,0.643,0.724
A. mill,Control_27,4,D8,T2,a,0.472,0.727
A. mill,Control_27,4,D8,T2,b,0.622,0.745
A. mill,Control_27,5,D8,T2,a,0.646,0.738
A. mill,Control_27,5,D8,T2,b,0.573,0.719
A. mill,Control_27,1,D9,Tx,a,0.66,0.668
A. mill,Control_27,1,D9,Tx,b,0.623,0.691
A. mill,Control_27,2,D9,Tx,a,0.547,0.693
A. mill,Control_27,2,D9,Tx,b,0.536,0.694
A. mill,Control_27,3,D9,Tx,a,0.699,0.706
A. mill,Control_27,3,D9,Tx,b,0.635,0.69
A. mill,Control_27,4,D9,Tx,a,0.6,0.692
A. mill,Control_27,4,D9,Tx,b,0.532,0.7
A. mill,Control_27,5,D9,Tx,a,0.664,0.714
A. mill,Control_27,5,D9,Tx,b,0.684,0.689
A. mill,Control_27,1,D10,T3,a,0.637,0.673
A. mill,Control_27,1,D10,T3,b,0.624,0.728
A. mill,Control_27,2,D10,T3,a,0.594,0.684
A. mill,Control_27,2,D10,T3,b,0.606,0.669
A. mill,Control_27,3,D10,T3,a,0.607,0.693
A. mill,Control_27,3,D10,T3,b,0.611,0.708
A. mill,Control_27,4,D10,T3,a,0.612,0.696
A. mill,Control_27,4,D10,T3,b,0.615,0.683
A. mill,Control_27,5,D10,T3,a,0.626,0.686
A. mill,Control_27,5,D10,T3,b,0.601,0.693
A. mill,Control_27,1,D11,Tx,a,0.577,0
A. mill,Control_27,1,D11,Tx,b,0.564,0
A. mill,Control_27,2,D11,Tx,a,0.604,0
A. mill,Control_27,2,D11,Tx,b,0.606,0
A. mill,Control_27,3,D11,Tx,a,0.607,0
A. mill,Control_27,3,D11,Tx,b,0.611,0
A. mill,Control_27,4,D11,Tx,a,0.592,0
A. mill,Control_27,4,D11,Tx,b,0.615,0
A. mill,Control_27,5,D11,Tx,a,0.526,0
A. mill,Control_27,5,D11,Tx,b,0.601,0
A. mill,Treatment_32,1,D1,Tx,a,0,0.7
A. mill,Treatment_32,1,D1,Tx,b,0,0.69
A. mill,Treatment_32,2,D1,Tx,a,0,0.697
A. mill,Treatment_32,2,D1,Tx,b,0,0.694
A. mill,Treatment_32,3,D1,Tx,a,0,0.719
A. mill,Treatment_32,3,D1,Tx,b,0,0.681
A. mill,Treatment_32,4,D1,Tx,a,0,0.655
A. mill,Treatment_32,4,D1,Tx,b,0,0.662
A. mill,Treatment_32,5,D1,Tx,a,0,0.723
A. mill,Treatment_32,5,D1,Tx,b,0,0.715
A. mill,Treatment_32,1,D2,Tx,a,0.688,0.69
A. mill,Treatment_32,1,D2,Tx,b,0.684,0.706
A. mill,Treatment_32,2,D2,Tx,a,0.705,0.716
A. mill,Treatment_32,2,D2,Tx,b,0.683,0.742
A. mill,Treatment_32,3,D2,Tx,a,0.72,0.721
A. mill,Treatment_32,3,D2,Tx,b,0.711,0.717
A. mill,Treatment_32,4,D2,Tx,a,0.686,0.698
A. mill,Treatment_32,4,D2,Tx,b,0.673,0.695
A. mill,Treatment_32,5,D2,Tx,a,0.719,0.718
A. mill,Treatment_32,5,D2,Tx,b,0.713,0.748
A. mill,Treatment_32,1,D3,T0,a,0.597,0.681
A. mill,Treatment_32,1,D3,T0,b,0.611,0.715
A. mill,Treatment_32,2,D3,T0,a,0.577,0.726
A. mill,Treatment_32,2,D3,T0,b,0.529,0.695
A. mill,Treatment_32,3,D3,T0,a,0.67,0.706
A. mill,Treatment_32,3,D3,T0,b,0.654,0.711
A. mill,Treatment_32,4,D3,T0,a,0.601,0.69
A. mill,Treatment_32,4,D3,T0,b,0.599,0.695
A. mill,Treatment_32,5,D3,T0,a,0.652,0.67
A. mill,Treatment_32,5,D3,T0,b,0.515,0.718
A. mill,Treatment_32,1,D4,Tx,a,0.57,0.718
A. mill,Treatment_32,1,D4,Tx,b,0.542,0.695
A. mill,Treatment_32,2,D4,Tx,a,0.427,0.721
A. mill,Treatment_32,2,D4,Tx,b,0.679,0.714
A. mill,Treatment_32,3,D4,Tx,a,0.594,0.689
A. mill,Treatment_32,3,D4,Tx,b,0.562,0.715
A. mill,Treatment_32,4,D4,Tx,a,0.638,0.694
A. mill,Treatment_32,4,D4,Tx,b,0.539,0.7
A. mill,Treatment_32,5,D4,Tx,a,0.586,0.724
A. mill,Treatment_32,5,D4,Tx,b,0.598,0.731
A. mill,Treatment_32,1,D5,Tx,a,0.57,0.708
A. mill,Treatment_32,1,D5,Tx,b,0.542,0.68
A. mill,Treatment_32,2,D5,Tx,a,0.427,0.613
A. mill,Treatment_32,2,D5,Tx,b,0.679,0.731
A. mill,Treatment_32,3,D5,Tx,a,0.594,0.707
A. mill,Treatment_32,3,D5,Tx,b,0.562,0.712
A. mill,Treatment_32,4,D5,Tx,a,0.638,0.712
A. mill,Treatment_32,4,D5,Tx,b,0.539,0.686
A. mill,Treatment_32,5,D5,Tx,a,0.586,0.728
A. mill,Treatment_32,5,D5,Tx,b,0.598,0.741
A. mill,Treatment_32,1,D6,T1,a,0.597,0.649
A. mill,Treatment_32,1,D6,T1,b,0.589,0.703
A. mill,Treatment_32,2,D6,T1,a,0.618,0.731
A. mill,Treatment_32,2,D6,T1,b,0.49,0.722
A. mill,Treatment_32,3,D6,T1,a,0.672,0.728
A. mill,Treatment_32,3,D6,T1,b,0.545,0.699
A. mill,Treatment_32,4,D6,T1,a,0.535,0.691
A. mill,Treatment_32,4,D6,T1,b,0.609,0.693
A. mill,Treatment_32,5,D6,T1,a,0.578,0.731
A. mill,Treatment_32,5,D6,T1,b,0.482,0.723
A. mill,Treatment_32,1,D7,Tx,a,0.566,0.6
A. mill,Treatment_32,1,D7,Tx,b,0.603,0.672
A. mill,Treatment_32,2,D7,Tx,a,0.603,0.702
A. mill,Treatment_32,2,D7,Tx,b,0.567,0.621
A. mill,Treatment_32,3,D7,Tx,a,0.67,0.689
A. mill,Treatment_32,3,D7,Tx,b,0.572,0.615
A. mill,Treatment_32,4,D7,Tx,a,0.579,0.68
A. mill,Treatment_32,4,D7,Tx,b,0.61,0.611
A. mill,Treatment_32,5,D7,Tx,a,0.65,0.607
A. mill,Treatment_32,5,D7,Tx,b,0.602,0.615
A. mill,Treatment_32,1,D8,T2,a,0.501,0.597
A. mill,Treatment_32,1,D8,T2,b,0.422,0.631
A. mill,Treatment_32,2,D8,T2,a,0.633,0.674
A. mill,Treatment_32,2,D8,T2,b,0.431,0.644
A. mill,Treatment_32,3,D8,T2,a,0.643,0.614
A. mill,Treatment_32,3,D8,T2,b,0.681,0.604
A. mill,Treatment_32,4,D8,T2,a,0.584,0.659
A. mill,Treatment_32,4,D8,T2,b,0.637,0.65
A. mill,Treatment_32,5,D8,T2,a,0.617,0.572
A. mill,Treatment_32,5,D8,T2,b,0.655,0.567
A. mill,Treatment_32,1,D9,Tx,a,0.281,0.462
A. mill,Treatment_32,1,D9,Tx,b,0.434,0.529
A. mill,Treatment_32,2,D9,Tx,a,0.454,0.584
A. mill,Treatment_32,2,D9,Tx,b,0.571,0.583
A. mill,Treatment_32,3,D9,Tx,a,0.556,0.534
A. mill,Treatment_32,3,D9,Tx,b,0.557,0.565
A. mill,Treatment_32,4,D9,Tx,a,0.532,0.496
A. mill,Treatment_32,4,D9,Tx,b,0.513,0.493
A. mill,Treatment_32,5,D9,Tx,a,0.471,0.378
A. mill,Treatment_32,5,D9,Tx,b,0.485,0.43
A. mill,Treatment_32,1,D10,T3,a,0.43,0.473
A. mill,Treatment_32,1,D10,T3,b,0.278,0.427
A. mill,Treatment_32,2,D10,T3,a,0.448,0.474
A. mill,Treatment_32,2,D10,T3,b,0.333,0.463
A. mill,Treatment_32,3,D10,T3,a,0.52,0.458
A. mill,Treatment_32,3,D10,T3,b,0.4,0.453
A. mill,Treatment_32,4,D10,T3,a,0.599,0.413
A. mill,Treatment_32,4,D10,T3,b,0.512,0.429
A. mill,Treatment_32,5,D10,T3,a,0.466,0.366
A. mill,Treatment_32,5,D10,T3,b,0.349,0.309
A. mill,Treatment_32,1,D11,Tx,a,0.434,0
A. mill,Treatment_32,1,D11,Tx,b,0.411,0
A. mill,Treatment_32,2,D11,Tx,a,0.281,0
A. mill,Treatment_32,2,D11,Tx,b,0.432,0
A. mill,Treatment_32,3,D11,Tx,a,0.425,0
A. mill,Treatment_32,3,D11,Tx,b,0.454,0
A. mill,Treatment_32,4,D11,Tx,a,0.457,0
A. mill,Treatment_32,4,D11,Tx,b,0.456,0
A. mill,Treatment_32,5,D11,Tx,a,0.421,0
A. mill,Treatment_32,5,D11,Tx,b,0.413,0
